TABLE NO.  1
 ID          TIME        DV          PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  6.0000E+00  4.0000E+00  3.3502E-01  5.5993E-01 -2.2491E-01 -3.4302E-01  5.0780E-01 -5.0305E-01  7.0539E-01 -3.7037E-01 -6.5607E-01
  6.0000E+00  2.0000E+01  4.2498E-02  5.6203E-02 -1.3705E-02  1.0918E-01  5.3162E-02  6.5398E-02  7.6107E-02 -3.3609E-02 -8.8990E-02
  7.0000E+00  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8927E+01  0.0000E+00  2.1829E+01  0.0000E+00  0.0000E+00
  7.0000E+00  2.0000E-01  2.1948E+01  1.4726E+01  7.2215E+00  1.3306E+00  1.4560E+01  1.1608E+00  1.4725E+01  7.2226E+00  1.3239E+00
  7.0000E+00  1.0000E+00  4.4353E+00  4.6510E+00 -2.1571E-01 -1.1946E-01  4.8332E+00 -1.6635E-01  4.4221E+00  1.3154E-02 -1.0017E-01
  7.0000E+00  4.0000E+00  5.2007E-01  5.5993E-01 -3.9860E-02  5.0480E-02  5.4680E-01 -1.2970E-02  7.2162E-01 -2.0155E-01 -2.5584E-01
  7.0000E+00  7.0000E+00  3.1913E-01  3.4728E-01 -2.8146E-02 -2.1959E-01  3.4468E-01 -2.7374E-01  4.1767E-01 -9.8544E-02 -2.5880E-01
  7.0000E+00  4.0000E+01  3.0515E-03  3.4156E-03 -3.6410E-04 -1.0731E-01  3.3213E-03 -1.6289E-01  1.3807E-02 -1.0756E-02 -2.9425E-01
  8.0000E+00  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8968E+01  0.0000E+00  2.1549E+01  0.0000E+00  0.0000E+00
  8.0000E+00  4.0000E-01  9.3116E+00  1.0917E+01 -1.6051E+00 -3.8477E-01  1.1665E+01 -5.0012E-01  1.0564E+01 -1.2519E+00 -2.6288E-01
  8.0000E+00  2.0000E+00  4.8959E-01  1.4763E+00 -9.8667E-01 -7.2953E-01  1.1646E+00 -9.4422E-01  1.7164E+00 -1.2268E+00 -1.0296E+00
  8.0000E+00  1.0000E+01  1.3808E-01  2.2799E-01 -8.9905E-02  1.2872E-01  2.2803E-01 -2.0161E-01  2.7754E-01 -1.3946E-01  6.5238E-03
  8.0000E+00  4.0000E+01  1.8240E-02  3.4156E-03  1.4824E-02  2.2785E+00  2.9969E-03  1.9916E+00  1.2086E-02  6.1541E-03  8.4891E-01
  8.0000E+00  7.0000E+01  1.8648E-03  5.1172E-05  1.8136E-03  1.7794E+01 -2.3160E-03  4.0910E-01  1.3629E-03  5.0187E-04 -3.4808E-01
  9.0000E+00  0.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9156E+01  0.0000E+00  2.0096E+01  0.0000E+00  0.0000E+00
  9.0000E+00  1.0000E-01  1.8309E+01  1.7137E+01  1.1720E+00 -1.6942E-01  1.6719E+01 -6.1409E-02  1.6662E+01  1.6466E+00 -1.2157E-01
  9.0000E+00  4.0000E-01  1.8715E+01  1.0917E+01  7.7983E+00  2.3333E+00  1.1061E+01  2.0137E+00  1.0030E+01  8.6846E+00  2.6511E+00
  9.0000E+00  7.0000E-01  7.4281E+00  7.0540E+00  3.7408E-01 -4.2203E-01  7.3126E+00 -5.9022E-01  6.4480E+00  9.8011E-01 -3.8557E-01
  9.0000E+00  4.0000E+00  4.2696E-01  5.5993E-01 -1.3297E-01 -5.7787E-01  5.5597E-01 -7.3361E-01  6.7081E-01 -2.4385E-01 -8.2878E-01
