TABLE NO.  1
 ID          TIME        PRED        RES         WRES        CPRED       CWRES       EPRED       ERES        EWRES
  7.0000E+00  2.0000E-01  1.4726E+01  7.2221E+00  1.3308E+00  1.4560E+01  1.1610E+00  1.4725E+01  7.2232E+00  1.3241E+00
  7.0000E+00  1.0000E+00  4.6506E+00 -2.1526E-01 -1.1935E-01  4.8327E+00 -1.6624E-01  4.4218E+00  1.3496E-02 -1.0009E-01
  7.0000E+00  4.0000E+00  5.5991E-01 -3.9844E-02  5.0412E-02  5.4680E-01 -1.2996E-02  7.2159E-01 -2.0152E-01 -2.5587E-01
  7.0000E+00  7.0000E+00  3.4727E-01 -2.8144E-02 -2.1965E-01  3.4468E-01 -2.7383E-01  4.1767E-01 -9.8537E-02 -2.5884E-01
  7.0000E+00  4.0000E+01  3.4157E-03 -3.6418E-04 -1.0745E-01  3.3214E-03 -1.6302E-01  1.3807E-02 -1.0756E-02 -2.9427E-01
  8.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.8968E+01  0.0000E+00  2.1549E+01  0.0000E+00  0.0000E+00
  8.0000E+00  4.0000E-01  1.0916E+01 -1.6045E+00 -3.8461E-01  1.1664E+01 -4.9992E-01  1.0563E+01 -1.2514E+00 -2.6274E-01
  8.0000E+00  2.0000E+00  1.4761E+00 -9.8650E-01 -7.2949E-01  1.1645E+00 -9.4420E-01  1.7162E+00 -1.2266E+00 -1.0295E+00
  8.0000E+00  1.0000E+01  2.2799E-01 -8.9905E-02  1.2862E-01  2.2803E-01 -2.0169E-01  2.7754E-01 -1.3946E-01  6.4563E-03
  8.0000E+00  4.0000E+01  3.4157E-03  1.4824E-02  2.2783E+00  2.9974E-03  1.9915E+00  1.2086E-02  6.1540E-03  8.4886E-01
  8.0000E+00  7.0000E+01  5.1174E-05  1.8136E-03  1.7793E+01 -2.3159E-03  4.0902E-01  1.3630E-03  5.0185E-04 -3.4809E-01
  9.0000E+00  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9155E+01  0.0000E+00  2.0095E+01  0.0000E+00  0.0000E+00
  9.0000E+00  1.0000E-01  1.7136E+01  1.1725E+00 -1.6938E-01  1.6718E+01 -6.1380E-02  1.6662E+01  1.6471E+00 -1.2154E-01
  9.0000E+00  4.0000E-01  1.0916E+01  7.7989E+00  2.3335E+00  1.1061E+01  2.0139E+00  1.0030E+01  8.6851E+00  2.6513E+00
  9.0000E+00  7.0000E-01  7.0535E+00  3.7463E-01 -4.2198E-01  7.3120E+00 -5.9016E-01  6.4475E+00  9.8055E-01 -3.8555E-01
  9.0000E+00  4.0000E+00  5.5991E-01 -1.3295E-01 -5.7791E-01  5.5596E-01 -7.3365E-01  6.7078E-01 -2.4382E-01 -8.2883E-01
  9.0000E+00  2.0000E+01  5.6203E-02 -2.6407E-02 -9.2721E-01  4.9721E-02 -1.1687E+00  7.8956E-02 -4.9160E-02 -8.8571E-01
  1.0000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9546E+01  0.0000E+00  2.2263E+01  0.0000E+00  0.0000E+00
  1.0000E+01  2.0000E-01  1.4726E+01 -7.3392E+00 -1.3348E+00  1.4237E+01 -1.8594E+00  1.4965E+01 -7.5784E+00 -1.2888E+00
  1.0000E+01  1.0000E+00  4.6506E+00 -2.2509E+00 -8.9517E-01  3.8435E+00 -8.5051E-01  4.3906E+00 -1.9909E+00 -7.7684E-01
  1.0000E+01  4.0000E+00  5.5991E-01 -8.4138E-03  7.1885E-01  7.5405E-01  7.4405E-01  7.0082E-01 -1.4932E-01  3.0854E-01
  1.0000E+01  7.0000E+00  3.4727E-01 -1.6836E-01 -5.2929E-01  4.1134E-01 -1.2393E+00  4.0561E-01 -2.2670E-01 -5.3071E-01
  1.0000E+01  4.0000E+01  3.4157E-03 -3.4148E-03  5.1362E-01  1.2204E-05 -1.3427E+00  1.2917E-02 -1.2917E-02 -2.5096E-01
  1.1000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9884E+01  0.0000E+00  2.1001E+01  0.0000E+00  0.0000E+00
  1.1000E+01  4.0000E-01  1.0916E+01  1.9287E-01  5.4112E-03  1.1081E+01 -2.0279E-02  1.0273E+01  8.3650E-01  1.9331E-01
  1.1000E+01  2.0000E+00  1.4761E+00  9.2011E-01  6.9696E-01  1.4415E+00  6.7396E-01  1.7943E+00  6.0193E-01  4.4694E-01
  1.1000E+01  1.0000E+01  2.2799E-01  1.2756E-01  2.9015E-01  2.0484E-01  7.5609E-02  2.7286E-01  8.2695E-02  1.1745E-01
  1.1000E+01  4.0000E+01  3.4157E-03 -2.4118E-04 -5.0669E-01  3.0350E-03 -4.4846E-01  1.3374E-02 -1.0200E-02 -8.5488E-01
  1.1000E+01  7.0000E+01  5.1174E-05 -3.5174E-05 -1.7413E-01  3.2640E-05 -1.2361E+00  1.4120E-03 -1.3960E-03  1.1252E-01
  1.2000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.9845E+01  0.0000E+00  2.1527E+01  0.0000E+00  0.0000E+00
  1.2000E+01  1.0000E-01  1.7136E+01 -2.8205E+00 -4.5131E-01  1.7057E+01 -5.0096E-01  1.7707E+01 -3.3912E+00 -5.3014E-01
  1.2000E+01  4.0000E-01  1.0916E+01  2.3087E-01  2.6623E-01  1.0895E+01  3.1094E-01  1.0440E+01  7.0727E-01  3.9768E-01
  1.2000E+01  7.0000E-01  7.0535E+00 -8.5717E-01 -3.3540E-01  7.0442E+00 -3.6327E-01  6.6240E+00 -4.2769E-01 -2.1177E-01
  1.2000E+01  4.0000E+00  5.5991E-01 -1.7304E-01 -4.0472E-01  5.3526E-01 -5.4283E-01  7.1208E-01 -3.2521E-01 -7.3083E-01
  1.2000E+01  2.0000E+01  5.6203E-02  2.3051E-02  6.9859E-01  6.2389E-02  8.4808E-01  8.2324E-02 -3.0696E-03  3.6225E-01
  1.3000E+01  0.0000E+00  1.9963E+01  0.0000E+00  0.0000E+00  1.4019E+01  0.0000E+00  2.0935E+01  0.0000E+00  0.0000E+00
  1.3000E+01  2.0000E-01  1.4726E+01  1.2314E+01  2.2785E+00  1.5113E+01  1.6756E+00  1.4318E+01  1.2722E+01  2.4202E+00
