TABLE NO.  4: MCMC Bayesian Analysis (No Prior): Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
           25  1.53696E+00  1.54336E+00  8.72927E-01  2.32811E+00  6.75827E-02  1.92361E-01  2.75602E-03  1.38320E-01 -2.03276E-02 -5.44551E-02  1.15381E-01 -3.21412E-02 -8.63942E-03 -5.56288E-02  1.11177E-01   -2405.2536445104911
           26  1.68317E+00  1.58402E+00  7.65747E-01  2.34450E+00  7.23403E-02  1.89288E-01  5.32781E-03  1.33506E-01 -2.40408E-02 -5.85243E-02  1.10117E-01 -2.28303E-02  1.06142E-02 -5.15357E-02  1.01905E-01   -2385.8245131422946
           27  1.62357E+00  1.58616E+00  7.08134E-01  2.40069E+00  7.56077E-02  1.34633E-01 -4.29782E-02  1.45223E-01  1.88340E-02 -8.16339E-02  1.22012E-01 -2.66617E-02 -4.66615E-03 -4.35755E-02  1.28212E-01   -2335.5132263369010
           28  1.61524E+00  1.48760E+00  8.09698E-01  2.38651E+00  7.52494E-02  1.48763E-01 -1.16985E-02  1.10802E-01 -9.47671E-03 -6.02683E-02  1.41215E-01 -2.91300E-02 -6.53443E-03 -4.19356E-02  9.12730E-02   -2408.7880336443327
           29  1.68621E+00  1.52997E+00  7.80759E-01  2.35810E+00  7.60743E-02  1.48454E-01 -3.66082E-02  1.23813E-01 -1.27474E-02 -5.30430E-02  1.08159E-01 -8.94123E-03 -2.49396E-03 -2.99156E-02  8.88808E-02   -2384.9936677272976
           30  1.60740E+00  1.52890E+00  7.84822E-01  2.37749E+00  7.05716E-02  1.85763E-01  3.47220E-03  8.98319E-02 -3.03325E-02 -3.60604E-02  1.12361E-01 -3.18414E-02 -4.57561E-03 -4.24504E-02  1.06381E-01   -2433.9073564305854
           31  1.57501E+00  1.53842E+00  7.97816E-01  2.36013E+00  6.55810E-02  1.94612E-01  1.34082E-03  1.16400E-01 -6.84265E-03 -4.36008E-02  1.07312E-01 -3.20756E-02 -1.96814E-02 -3.80207E-02  9.29024E-02   -2428.0430293811751
           32  1.64562E+00  1.59715E+00  7.78682E-01  2.33233E+00  6.80278E-02  1.43219E-01  1.67747E-02  1.46501E-01 -1.66175E-02 -4.10300E-02  8.50371E-02 -1.77307E-02 -5.37932E-02 -2.22707E-02  9.95802E-02   -2425.5850241729686
           33  1.64272E+00  1.60968E+00  8.11120E-01  2.32829E+00  7.17580E-02  1.52452E-01 -3.11216E-02  1.06168E-01 -2.50141E-02 -1.97287E-02  1.04280E-01 -5.99663E-03 -1.56781E-02 -4.90149E-02  1.02839E-01   -2416.9521886378739
           34  1.62487E+00  1.53247E+00  8.25217E-01  2.32272E+00  7.33464E-02  1.68575E-01 -1.40068E-02  1.10685E-01 -4.77356E-02 -1.65649E-02  1.07504E-01  5.72421E-03 -2.42151E-02 -4.52592E-02  8.70671E-02   -2405.2938937294884
           35  1.69344E+00  1.50979E+00  7.73384E-01  2.31281E+00  7.20146E-02  2.00517E-01 -2.90742E-02  1.22493E-01 -4.36795E-02 -2.07643E-02  1.48050E-01 -1.41784E-02 -2.60494E-02 -4.41586E-02  9.23112E-02   -2377.9935982873776
           36  1.57874E+00  1.54431E+00  7.99507E-01  2.31039E+00  7.58523E-02  2.96808E-01 -1.36869E-02  8.38402E-02 -8.19372E-02 -9.24434E-03  1.64645E-01  1.52640E-02 -2.18337E-02 -3.49736E-02  9.46159E-02   -2334.4950362807876
           37  1.69491E+00  1.55355E+00  7.57881E-01  2.34219E+00  7.66249E-02  1.78714E-01 -8.28272E-03  1.20608E-01 -1.42478E-02 -8.40989E-03  1.27718E-01 -2.23730E-02 -4.06389E-02 -5.19674E-02  1.02876E-01   -2379.9218131199968
           38  1.64143E+00  1.55074E+00  8.23727E-01  2.37182E+00  6.97440E-02  1.69745E-01  1.38935E-02  1.11913E-01 -2.41609E-02 -6.97656E-03  1.18873E-01 -2.66132E-02 -2.55882E-02 -4.91012E-02  1.04892E-01   -2396.5848055827810
           39  1.70102E+00  1.55134E+00  7.75477E-01  2.34131E+00  6.53950E-02  1.55115E-01  7.99728E-03  1.13866E-01 -4.53752E-03 -9.24617E-03  1.66675E-01 -2.45098E-02 -8.04709E-03 -6.17048E-02  9.44081E-02   -2342.0629592497239
           40  1.62339E+00  1.51320E+00  7.94066E-01  2.41203E+00  7.42617E-02  2.25586E-01 -1.75948E-02  1.12986E-01 -1.04372E-02 -2.21594E-02  1.32068E-01 -5.14077E-03  2.99242E-03 -5.84398E-02  1.12598E-01   -2371.6411872959420
           41  1.57142E+00  1.55392E+00  7.85921E-01  2.38804E+00  7.31648E-02  1.27461E-01  6.90992E-04  1.20889E-01  1.04122E-02 -2.74494E-02  1.19638E-01 -1.85981E-02 -3.47955E-03 -2.62454E-02  8.88793E-02   -2355.7745738353929
           42  1.64684E+00  1.51380E+00  7.79208E-01  2.40050E+00  6.91330E-02  1.70376E-01  2.28373E-02  1.19792E-01 -7.12794E-03 -2.82078E-02  1.10776E-01 -4.69208E-02 -2.29408E-02 -2.87836E-02  1.03618E-01   -2412.0577941342963
           43  1.72819E+00  1.53634E+00  8.23678E-01  2.32048E+00  7.08973E-02  1.75473E-01 -2.59458E-02  1.39456E-01 -1.96294E-03 -2.88137E-02  1.02244E-01 -4.29579E-02 -1.63862E-03 -4.04873E-02  1.03077E-01   -2413.0554415952856
           44  1.68908E+00  1.52089E+00  7.98970E-01  2.34705E+00  6.76487E-02  1.98927E-01  1.35458E-02  1.53664E-01 -1.66348E-02 -3.02068E-02  9.85290E-02 -5.18197E-02 -1.61240E-02 -4.20481E-02  1.16970E-01   -2413.3724998065081
           45  1.69891E+00  1.60292E+00  8.01333E-01  2.35998E+00  7.11572E-02  2.47472E-01  1.55027E-02  1.27895E-01 -1.01383E-02 -3.36757E-02  9.17587E-02 -5.52651E-02  1.73541E-02 -5.47540E-02  1.09535E-01   -2443.6359328586636
           46  1.79372E+00  1.56190E+00  8.35508E-01  2.36104E+00  6.95259E-02  1.68443E-01  5.08640E-04  1.32546E-01 -2.04085E-02 -3.32810E-02  8.39564E-02 -1.46311E-02  3.69437E-03 -5.32635E-02  1.00887E-01   -2432.7366193304051
           47  1.65598E+00  1.53011E+00  7.84757E-01  2.42846E+00  6.35408E-02  1.78624E-01 -1.83811E-02  1.27875E-01 -6.03017E-03 -3.26324E-02  8.65953E-02 -1.83399E-02  4.76476E-03 -3.23105E-02  8.46968E-02   -2393.1571936316604
           48  1.66425E+00  1.57485E+00  8.22780E-01  2.37422E+00  7.21377E-02  1.83760E-01 -2.61478E-02  1.47359E-01  2.23445E-02 -3.30067E-02  8.24549E-02 -5.62485E-02  6.90065E-03 -4.54140E-02  1.14566E-01   -2398.6074357429907
           49  1.72095E+00  1.57263E+00  7.84891E-01  2.38193E+00  7.52621E-02  2.04104E-01  1.36123E-02  1.41164E-01 -1.68536E-02 -3.47509E-02  7.00378E-02  2.55742E-03  2.63522E-03 -3.52609E-02  1.14643E-01   -2377.0212597847144
           50  1.68240E+00  1.71108E+00  7.33469E-01  2.43028E+00  7.76064E-02  1.60107E-01  2.12957E-02  1.36197E-01  1.63329E-02 -3.02136E-02  8.67482E-02 -4.31615E-02  6.41035E-03 -5.25971E-02  1.21380E-01   -2371.7834654558219
           51  1.68894E+00  1.71253E+00  7.79993E-01  2.38398E+00  7.66921E-02  1.93262E-01  4.71786E-03  1.65765E-01  8.33436E-03 -5.76637E-02  8.27804E-02 -5.18066E-02  2.98112E-02 -5.10240E-02  1.32642E-01   -2342.5416939702914
           52  1.61493E+00  1.63256E+00  7.96471E-01  2.35869E+00  7.48750E-02  2.35457E-01 -1.86242E-02  1.20482E-01  3.80819E-02 -3.18624E-02  8.89656E-02 -6.20969E-02 -1.33168E-02 -5.40517E-02  1.31717E-01   -2375.4259707299188
           53  1.69731E+00  1.64138E+00  8.09087E-01  2.37278E+00  7.31827E-02  1.48278E-01  1.63383E-02  1.20739E-01  1.62419E-02 -2.52593E-02  6.32686E-02 -5.26013E-02 -2.64920E-02 -4.09059E-02  1.27716E-01   -2460.9289839959597
           54  1.64201E+00  1.61001E+00  7.70282E-01  2.41521E+00  6.80053E-02  1.72249E-01  3.69471E-02  1.47853E-01  5.35324E-03 -4.19040E-02  6.99857E-02 -3.49414E-02  2.96971E-03 -5.17239E-02  1.31883E-01   -2477.1733245070845
           55  1.72527E+00  1.59967E+00  8.04090E-01  2.37935E+00  6.47268E-02  2.16175E-01  1.48386E-02  1.33533E-01  3.51802E-02 -2.42725E-02  7.73948E-02 -6.16649E-02 -2.06972E-02 -6.29959E-02  1.46944E-01   -2464.5686377357674
           56  1.76209E+00  1.54700E+00  8.04685E-01  2.36750E+00  7.19882E-02  2.00876E-01 -2.14241E-03  1.25197E-01  2.45683E-02 -3.19608E-02  6.78257E-02 -2.63903E-02 -4.16991E-03 -3.20176E-02  1.09032E-01   -2446.4112890681608
           57  1.63482E+00  1.54906E+00  7.80776E-01  2.36125E+00  7.06791E-02  1.71378E-01 -5.13215E-03  1.59424E-01  9.15556E-03 -2.94001E-02  6.51283E-02 -2.54592E-02 -1.78875E-02 -3.47397E-02  1.15251E-01   -2452.3608405923997
           58  1.71243E+00  1.67153E+00  8.10422E-01  2.35008E+00  6.23082E-02  1.89807E-01  1.06413E-02  1.30373E-01  3.11506E-03 -3.33785E-02  7.59476E-02 -2.35950E-02 -3.10521E-02 -3.61603E-02  1.26109E-01   -2470.4562266009366
           59  1.65542E+00  1.63411E+00  7.97143E-01  2.34635E+00  6.04658E-02  1.41139E-01  1.46701E-02  1.37822E-01  1.61180E-02 -1.22688E-02  6.97959E-02 -3.02106E-02 -2.78727E-02 -3.58497E-02  1.18483E-01   -2463.5921025833186
           60  1.68339E+00  1.65346E+00  7.57606E-01  2.37660E+00  5.83458E-02  1.63856E-01  9.66298E-03  1.04172E-01 -7.18013E-03 -1.72901E-02  6.80595E-02 -3.07208E-02 -3.00131E-02 -1.42792E-02  1.16132E-01   -2437.0615667660350
           61  1.64034E+00  1.64441E+00  7.94407E-01  2.34849E+00  6.33539E-02  2.23655E-01  6.60737E-02  1.34015E-01  1.12882E-02 -7.00052E-03  7.11314E-02 -1.47261E-02 -3.57565E-02 -3.32049E-02  1.30843E-01   -2393.9751484593912
           62  1.61176E+00  1.65916E+00  7.81095E-01  2.43278E+00  7.05741E-02  2.05882E-01  3.54155E-02  1.26735E-01 -7.44967E-03 -4.10498E-02  9.99334E-02 -4.05659E-02 -1.76367E-02 -4.14069E-02  1.63154E-01   -2418.3200772688065
           63  1.56495E+00  1.57724E+00  7.86552E-01  2.42512E+00  6.16748E-02  2.03902E-01  2.20900E-02  1.38845E-01 -1.31747E-02 -2.52056E-02  8.92787E-02 -5.03723E-02 -3.31083E-02 -1.78761E-02  9.96956E-02   -2395.4355608080687
           64  1.70930E+00  1.63595E+00  7.89645E-01  2.28419E+00  6.61249E-02  1.80801E-01  1.68969E-02  1.08331E-01 -9.79508E-03 -2.03371E-02  6.99609E-02 -2.90270E-02 -2.04042E-02 -2.26749E-02  1.24269E-01   -2461.7863573709510
           65  1.65929E+00  1.65433E+00  8.07064E-01  2.32822E+00  6.58296E-02  1.38067E-01 -5.72009E-03  9.88319E-02  2.09017E-02 -2.76891E-02  8.68608E-02 -2.58930E-02 -2.14186E-02 -2.43996E-02  1.37513E-01   -2439.5226248656836
           66  1.64636E+00  1.65519E+00  7.77787E-01  2.41992E+00  7.10464E-02  1.77978E-01  1.05907E-02  8.48961E-02  3.31664E-03 -1.68222E-02  6.88388E-02 -5.06695E-02 -2.31334E-02 -1.37662E-02  1.23395E-01   -2459.5020777638929
           67  1.66344E+00  1.63179E+00  8.19401E-01  2.40040E+00  6.31035E-02  1.30431E-01  1.68304E-02  1.03937E-01  2.15761E-03 -1.94738E-02  6.50029E-02 -4.51013E-04 -1.99558E-02 -4.62557E-03  9.62724E-02   -2458.8773380317475
           68  1.67421E+00  1.66283E+00  7.95321E-01  2.32940E+00  6.86988E-02  2.04389E-01  4.68462E-03  9.38999E-02  1.57881E-03 -2.75261E-02  5.90813E-02 -1.82618E-02 -2.35840E-02 -1.83668E-03  1.08234E-01   -2414.6169234814306
           69  1.63810E+00  1.58485E+00  8.39142E-01  2.40323E+00  7.27859E-02  1.59630E-01  2.51936E-02  9.79446E-02 -4.53349E-03 -7.43469E-03  8.14564E-02 -5.55723E-02 -3.48307E-02 -3.28669E-02  1.44475E-01   -2386.6224942756617
           70  1.69145E+00  1.67471E+00  8.20075E-01  2.34676E+00  8.44314E-02  1.96226E-01 -2.68365E-03  9.27588E-02  1.98153E-03 -2.98799E-02  7.55460E-02 -5.56168E-02 -1.92364E-02 -1.58636E-02  1.07881E-01   -2409.0382147044534
           71  1.60923E+00  1.62907E+00  7.71794E-01  2.41200E+00  7.83803E-02  1.69697E-01  7.13580E-03  7.94807E-02 -9.39461E-03 -9.84452E-03  5.89515E-02 -2.54120E-02 -2.69821E-02 -2.40654E-02  1.30877E-01   -2404.8200471740965
           72  1.66061E+00  1.62231E+00  8.01031E-01  2.32758E+00  7.36555E-02  1.82613E-01 -1.27122E-03  7.36888E-02  9.42113E-03 -1.50066E-02  6.32803E-02 -6.83400E-02  2.71159E-03 -4.06670E-02  1.47603E-01   -2395.6332570312479
           73  1.65983E+00  1.63373E+00  8.17008E-01  2.28771E+00  6.92351E-02  1.65778E-01 -6.60670E-04  8.74020E-02  1.09728E-02 -1.62005E-02  5.70302E-02 -4.72368E-02 -8.11111E-03 -1.20557E-02  1.27603E-01   -2383.1391130731181
           74  1.67295E+00  1.56156E+00  8.41265E-01  2.42309E+00  6.90461E-02  1.59660E-01  8.82073E-03  1.11509E-01 -6.46015E-03 -1.09938E-02  5.62737E-02 -3.08949E-02 -3.64284E-02 -2.40459E-02  1.41939E-01   -2422.0415940835960
           75  1.67677E+00  1.58141E+00  8.00732E-01  2.36569E+00  7.07127E-02  1.41113E-01  1.17892E-02  9.63757E-02 -2.35740E-02 -9.63941E-03  5.17790E-02 -3.24110E-02 -1.66549E-02 -1.34238E-02  1.35198E-01   -2414.3086975814995
           76  1.66024E+00  1.55496E+00  7.90212E-01  2.32588E+00  7.21413E-02  1.53608E-01 -1.29341E-02  1.11060E-01 -1.72773E-03 -1.58242E-02  5.70791E-02 -4.04564E-02  4.33746E-03 -2.50426E-02  1.61106E-01   -2407.5164746751661
           77  1.62474E+00  1.61174E+00  7.64127E-01  2.41277E+00  7.26345E-02  1.46154E-01  5.64642E-03  9.17259E-02 -1.50525E-02 -1.29235E-02  6.37336E-02 -3.98547E-04 -1.51773E-02 -1.38754E-02  1.04384E-01   -2425.0575604966916
           78  1.73567E+00  1.60117E+00  8.10675E-01  2.37542E+00  6.60308E-02  1.27160E-01 -1.92989E-02  1.14461E-01 -6.35655E-03 -2.33239E-02  7.91198E-02 -2.36349E-02 -2.26835E-02 -2.62656E-02  1.20459E-01   -2442.0749903525671
           79  1.66174E+00  1.66493E+00  7.64943E-01  2.34836E+00  6.56368E-02  2.02933E-01  1.94271E-02  1.07533E-01 -2.18531E-02 -1.92818E-02  7.33733E-02 -5.53351E-02 -3.61749E-02 -2.12693E-02  1.47153E-01   -2427.0450333371964
           80  1.60830E+00  1.66299E+00  8.05432E-01  2.33931E+00  6.56953E-02  1.82344E-01  1.68338E-02  1.71237E-01 -3.38737E-02 -2.05346E-02  7.51068E-02 -4.07321E-02 -2.41632E-02 -1.67601E-02  1.11412E-01   -2381.5518842325205
           81  1.70188E+00  1.61100E+00  7.52911E-01  2.30803E+00  7.37655E-02  1.93615E-01  9.69150E-03  1.16732E-01  5.10305E-03 -2.05176E-02  6.62410E-02 -4.21014E-02 -1.80098E-02 -1.74146E-02  1.00594E-01   -2388.7225512792202
           82  1.67749E+00  1.68169E+00  7.75482E-01  2.33147E+00  7.05084E-02  1.27524E-01 -9.77777E-03  1.35344E-01 -1.37605E-02 -3.64059E-03  7.58174E-02 -2.38133E-02 -4.00452E-02 -4.60583E-02  1.37392E-01   -2409.5416462747253
           83  1.58803E+00  1.70236E+00  8.05999E-01  2.40107E+00  7.49120E-02  1.77371E-01 -3.39694E-04  1.10436E-01 -1.56473E-02  4.61072E-03  6.70914E-02 -3.60024E-02 -1.09916E-02 -2.39063E-02  1.03900E-01   -2390.6277424469940
           84  1.61580E+00  1.60944E+00  7.85861E-01  2.37287E+00  6.74280E-02  1.26634E-01  4.17531E-04  1.07658E-01  3.80409E-03 -5.17933E-03  6.35582E-02 -3.20382E-02  2.27660E-02 -2.62063E-02  1.19785E-01   -2411.6529861815952
           85  1.71569E+00  1.53349E+00  7.90137E-01  2.34288E+00  7.59421E-02  1.14990E-01  1.19397E-03  1.19896E-01 -1.00662E-02  1.14667E-04  7.19988E-02 -3.34722E-02 -1.14245E-02 -3.38711E-02  1.49650E-01   -2358.2703800874833
           86  1.69176E+00  1.63763E+00  7.83525E-01  2.41938E+00  6.98978E-02  1.87521E-01 -2.27023E-02  1.02573E-01  1.13546E-02  1.28836E-02  7.33117E-02 -4.35835E-02 -1.04664E-04 -3.84729E-02  1.21048E-01   -2404.0369848225328
           87  1.72384E+00  1.65042E+00  7.79951E-01  2.33186E+00  7.15185E-02  1.82433E-01 -1.23310E-02  1.03659E-01 -1.28936E-03 -6.69888E-03  6.67244E-02 -1.78888E-02 -2.65224E-02 -3.33238E-02  1.37932E-01   -2369.9619267974440
           88  1.67788E+00  1.69734E+00  7.56085E-01  2.29726E+00  7.38691E-02  2.17632E-01  7.40908E-03  1.06474E-01 -1.51934E-03  8.17256E-03  5.35573E-02 -2.51115E-02 -6.06633E-02 -2.63083E-02  1.82969E-01   -2376.6904576296597
           89  1.63818E+00  1.60314E+00  7.90498E-01  2.41505E+00  7.71112E-02  1.85051E-01  3.85483E-03  1.02060E-01 -1.42062E-02 -1.76839E-03  7.15710E-02 -7.73008E-03 -2.84804E-02 -3.46386E-02  1.19239E-01   -2410.1496563568362
           90  1.63457E+00  1.59483E+00  8.37727E-01  2.43948E+00  7.32814E-02  1.45644E-01 -1.53489E-02  1.01373E-01 -6.54322E-03  1.01663E-02  6.76893E-02 -1.11242E-02 -1.49480E-02 -1.05578E-02  1.03981E-01   -2393.1871867614182
           91  1.65321E+00  1.58402E+00  8.10751E-01  2.36541E+00  7.51398E-02  1.65655E-01 -1.14006E-02  1.10541E-01 -4.58041E-03  1.71943E-02  6.88785E-02 -5.67248E-03 -1.14890E-02 -2.78758E-02  1.20765E-01   -2409.0573634414218
           92  1.69115E+00  1.56806E+00  8.28912E-01  2.36357E+00  7.22510E-02  1.86706E-01 -3.18094E-02  9.10950E-02  1.28019E-02  2.59543E-02  6.20806E-02 -3.58341E-02 -1.80314E-02 -2.77740E-02  1.25607E-01   -2418.3665874279550
           93  1.66761E+00  1.56437E+00  7.80265E-01  2.35701E+00  7.11170E-02  1.69693E-01 -2.26029E-03  7.59217E-02  8.06041E-03  1.66081E-02  7.03232E-02  5.57377E-03 -4.13401E-03 -2.49154E-02  1.37222E-01   -2442.4021195369141
           94  1.61351E+00  1.59625E+00  7.76696E-01  2.40263E+00  6.74361E-02  1.70957E-01 -5.09965E-03  1.01276E-01 -3.51113E-03  7.93207E-03  5.27303E-02  4.02250E-03 -5.65024E-04 -2.05427E-02  1.17559E-01   -2393.0237208645085
           95  1.72063E+00  1.58615E+00  7.75493E-01  2.40113E+00  6.87262E-02  1.92355E-01 -1.58091E-02  8.40482E-02 -7.19829E-03  1.19455E-02  7.03493E-02 -1.92848E-03  6.86473E-03 -1.46427E-02  1.01093E-01   -2421.9705489480812
           96  1.64709E+00  1.52531E+00  7.33926E-01  2.31617E+00  6.42774E-02  2.05562E-01 -1.40721E-02  9.96982E-02 -1.23935E-02  2.85173E-02  7.53766E-02 -1.04588E-03  1.01377E-03 -1.46918E-02  1.15286E-01   -2407.8063002923509
           97  1.63669E+00  1.63805E+00  8.11051E-01  2.38145E+00  6.38768E-02  1.75870E-01 -1.03563E-02  8.71480E-02  2.58486E-02  1.25890E-03  7.49975E-02 -1.54407E-02  9.88867E-03 -3.63127E-02  1.39194E-01   -2416.0073848834604
           98  1.66424E+00  1.60714E+00  8.02131E-01  2.41456E+00  7.12320E-02  2.02661E-01 -1.22852E-02  8.06449E-02  2.97887E-02 -1.85373E-02  8.40906E-02 -3.30980E-02  3.63944E-02 -3.95140E-02  1.47153E-01   -2388.0472040008003
           99  1.64483E+00  1.63275E+00  8.04015E-01  2.36703E+00  6.86903E-02  1.69194E-01 -7.20787E-03  9.87937E-02  1.45595E-02  4.03125E-03  5.88849E-02 -1.35014E-02  7.61847E-04 -2.10139E-02  1.18333E-01   -2392.5675706336747
          100  1.60473E+00  1.55703E+00  7.66309E-01  2.42553E+00  6.21074E-02  1.93195E-01 -9.23230E-03  1.15966E-01  1.65757E-02  3.06353E-02  9.29730E-02 -5.06533E-03  1.62398E-02 -3.84170E-02  1.20561E-01   -2433.7820513319884
          101  1.67381E+00  1.57270E+00  7.44340E-01  2.40244E+00  6.90061E-02  1.35872E-01  8.75955E-03  1.29643E-01  1.68613E-02  2.30753E-02  7.98570E-02 -1.90438E-02  1.81177E-02 -2.55893E-02  1.18896E-01   -2384.2549988979258
          102  1.65829E+00  1.65235E+00  8.06672E-01  2.39064E+00  6.50183E-02  1.68870E-01  1.75805E-02  1.15616E-01  5.58734E-03  1.67390E-02  8.63792E-02 -2.22449E-02  3.57080E-02 -1.58816E-02  1.24629E-01   -2407.3956428806537
          103  1.61393E+00  1.65533E+00  8.01958E-01  2.41712E+00  6.88393E-02  1.55471E-01 -1.91487E-03  1.19633E-01  2.55589E-03  2.87646E-02  7.42771E-02  2.03059E-03  1.19514E-02 -1.46005E-02  1.55627E-01   -2442.9216380831913
          104  1.66676E+00  1.69667E+00  8.10591E-01  2.41566E+00  6.15958E-02  2.00418E-01 -2.66006E-03  9.64670E-02 -5.56423E-03  1.54050E-02  6.09960E-02 -3.35364E-02  4.77506E-03 -1.40501E-02  1.61275E-01   -2454.2103915452717
          105  1.67605E+00  1.64499E+00  7.88535E-01  2.39990E+00  6.27450E-02  1.81903E-01 -1.03965E-02  8.90183E-02  1.45758E-03  1.00377E-02  4.99221E-02 -1.98455E-02  1.28008E-02 -9.31924E-03  1.91700E-01   -2423.8112063985927
          106  1.62177E+00  1.66223E+00  8.02873E-01  2.32812E+00  5.66572E-02  1.35789E-01 -1.96843E-02  9.14178E-02  5.47732E-03  1.44250E-02  4.06437E-02 -4.15329E-02  1.02995E-02 -1.92586E-02  1.35507E-01   -2439.3624002674555
          107  1.64958E+00  1.67337E+00  8.01975E-01  2.37158E+00  6.05144E-02  1.71496E-01  5.54599E-03  1.05228E-01  1.30503E-02  2.31390E-02  7.27983E-02 -1.45699E-02  3.05804E-03 -4.62628E-02  1.23880E-01   -2459.3468172978382
          108  1.70099E+00  1.61197E+00  7.77552E-01  2.38806E+00  6.26446E-02  1.55169E-01  1.26340E-02  1.32400E-01 -9.52909E-03  2.10207E-02  5.30655E-02 -2.55820E-02  8.21663E-03 -2.37163E-02  1.27939E-01   -2423.7261039731525
          109  1.67221E+00  1.66262E+00  7.95488E-01  2.42197E+00  6.90119E-02  1.57551E-01  7.45328E-03  1.19009E-01  5.82234E-03  3.52810E-02  4.99923E-02 -3.01808E-02 -2.62691E-03 -1.96340E-02  1.10179E-01   -2442.5904996351587
          110  1.63308E+00  1.65557E+00  8.59384E-01  2.39420E+00  6.45011E-02  1.54111E-01  1.09711E-02  1.00378E-01  5.00684E-03  2.73982E-02  4.21434E-02 -1.52508E-02  1.12796E-03 -2.82438E-02  1.45493E-01   -2428.7298750362265
          111  1.58846E+00  1.58416E+00  8.32089E-01  2.28449E+00  7.33890E-02  1.98363E-01  9.69307E-03  8.40039E-02  1.54675E-02  2.43609E-02  3.81834E-02 -4.02620E-02 -1.29190E-02 -2.39723E-02  1.29836E-01   -2449.0447027954133
          112  1.62219E+00  1.62670E+00  8.21772E-01  2.40461E+00  6.88099E-02  1.82320E-01 -5.58364E-03  8.55724E-02  7.21814E-03  2.49655E-02  3.74201E-02 -2.67148E-03  2.70746E-03 -2.13091E-02  1.34822E-01   -2450.9028673562511
          113  1.67850E+00  1.61837E+00  8.03444E-01  2.37275E+00  7.55600E-02  1.63280E-01  4.75940E-03  9.25128E-02 -8.99886E-04  1.75963E-02  3.62930E-02  3.92276E-03  1.88753E-02 -2.54591E-02  1.40290E-01   -2440.9542717984359
          114  1.69976E+00  1.65792E+00  8.08190E-01  2.40119E+00  8.24910E-02  2.36221E-01  4.65570E-02  1.04551E-01  6.46260E-03  1.88879E-02  4.26687E-02  5.68574E-04  3.72048E-03 -3.89692E-02  1.25616E-01   -2425.2610210945140
          115  1.57611E+00  1.63377E+00  8.37974E-01  2.35728E+00  7.47929E-02  1.54106E-01  3.07375E-02  7.90025E-02 -2.30250E-03  1.57484E-02  5.21870E-02  2.83804E-02  1.55207E-02 -5.16318E-02  1.54249E-01   -2381.7862816393263
          116  1.64442E+00  1.65269E+00  7.81436E-01  2.42609E+00  9.08852E-02  2.15898E-01  4.10682E-02  9.88863E-02  2.65150E-02  2.27784E-02  5.55268E-02  8.81792E-04  1.90215E-02 -3.14009E-02  1.11387E-01   -2366.3728444635385
          117  1.64032E+00  1.60845E+00  7.66687E-01  2.42233E+00  8.74031E-02  1.82355E-01  3.55887E-02  7.42711E-02  2.29240E-02  1.02591E-02  6.06135E-02  2.29032E-03  3.62246E-02 -3.08559E-02  1.15991E-01   -2383.7219592257293
          118  1.65460E+00  1.62381E+00  7.92619E-01  2.36114E+00  9.42278E-02  1.74614E-01  3.74377E-02  8.94535E-02  2.62477E-02  1.27602E-02  5.30213E-02 -1.49641E-02  2.31579E-02 -3.51563E-02  1.15019E-01   -2381.1764652322786
          119  1.62433E+00  1.62371E+00  7.58418E-01  2.38987E+00  7.28952E-02  1.52003E-01  3.75120E-02  1.15031E-01  3.67841E-02  2.27743E-02  5.92669E-02  6.79254E-03  2.37567E-02 -3.64326E-02  1.15420E-01   -2376.1931663550859
          120  1.66155E+00  1.61211E+00  7.87254E-01  2.42676E+00  8.04008E-02  2.05262E-01  4.64321E-02  1.04958E-01  3.61249E-02  2.94703E-02  6.70127E-02  1.33773E-02  6.75472E-03 -4.88410E-02  1.48257E-01   -2389.2380175708258
          121  1.70683E+00  1.68991E+00  7.84132E-01  2.46674E+00  7.69068E-02  2.26421E-01  5.91197E-02  1.18280E-01  3.67894E-02  1.53109E-02  5.98177E-02  3.45725E-02  4.34186E-02 -4.72311E-02  1.61949E-01   -2345.5900079568428
          122  1.68934E+00  1.61985E+00  7.49361E-01  2.46829E+00  9.45630E-02  1.65942E-01  2.30908E-02  1.28436E-01  2.59450E-02  2.01597E-02  5.78241E-02  1.58901E-02  1.38248E-03 -5.29267E-02  1.64413E-01   -2388.5226574498338
          123  1.69649E+00  1.61585E+00  7.94470E-01  2.39885E+00  7.87497E-02  2.30690E-01  3.66242E-02  1.08897E-01  7.34680E-02  1.86582E-02  7.17161E-02 -2.10155E-02 -7.20726E-03 -5.39416E-02  1.27721E-01   -2398.9387292978199
          124  1.70553E+00  1.68932E+00  8.58230E-01  2.34087E+00  8.32795E-02  2.05397E-01  1.40401E-02  1.32744E-01  3.62392E-02  5.13819E-03  4.86259E-02 -2.02587E-02  5.89775E-03 -4.77785E-02  1.44224E-01   -2405.6162837597085
